order_id,source_order_ref,order_date,customer_id,product_id,quantity,unit_price,discount_pct,sales_rep,order_status,crm_lookup_code_used
O001,WEB-1001,2026-01-07,C002,P003,2,122.55,5,Jordan Lee,Completed,CRM-WEST-1
O002,WEB-1002,2026-01-11,C003,P005,3,146.02,10,Morgan Patel,Completed,CRM-EAST-1
O003,WEB-1003,2026-01-15,C004,P007,4,99.99,15,Riley Chen,Pending,CRM-CENTRAL-1
O004,WEB-1004,2026-01-19,C005,P002,5,72.68,0,Casey Brooks,Cancelled,CRM-NORTH-2
O005,WEB-1005,2026-01-23,C006,P004,1,255.55,5,Alex Kim,Completed,CRM-SOUTH-1
O006,WEB-1006,2026-01-27,C007,P006,2,136.22,10,Jordan Lee,Completed,CRM-SOUTH-2
O007,WEB-1007,2026-01-31,C008,P001,3,24.24,15,Morgan Patel,Completed,CRM-EAST-2
O008,WEB-1008,2026-02-04,C009,P003,4,118.68,0,Riley Chen,Pending,CRM-WEST-2
O009,WEB-1009,2026-02-08,C010,P005,5,141.55,5,Casey Brooks,Cancelled,CRM-CENTRAL-2
O010,WEB-1010,2026-02-12,C011,P007,1,97.02,10,Alex Kim,Completed,CRM-NORTH-1
O011,WEB-1011,2026-02-16,C012,P002,2,79.79,,Jordan Lee,Completed,CRM-SOUTH-3
O012,WEB-1012,2026-02-20,C001,P004,3,247.48,0,Morgan Patel,Completed,CRM-NORTH-1
O013,WEB-1013,2026-02-24,C002,P006,4,132.05,5,,Pending,CRM-WEST-1
O014,WEB-1014,2026-02-28,C003,P001,5,23.52,10,Casey Brooks,Cancelled,CRM-NORTH-1
O015,WEB-1015,2026-03-04,C004,P003,1,130.29,15,Alex Kim,Completed,CRM-CENTRAL-1
O016,WEB-1016,2026-03-08,C005,P005,2,137.08,0,Jordan Lee,Completed,CRM-NORTH-2
O017,WEB-1017,2026-03-12,C006,P007,3,94.05,5,Morgan Patel,Completed,CRM-SOUTH-1
O018,WEB-1017,2026-03-16,C007,P002,4,77.42,10,Riley Chen,Pending,CRM-SOUTH-2
O019,WEB-1019,2026-03-20,C008,P004,5,271.69,15,Casey Brooks,Cancelled,CRM-EAST-2
O020,WEB-1020,2026-03-24,C009,P006,1,127.88,0,Alex Kim,Completed,CRM-WEST-2
O021,WEB-1021,2026-03-28,C010,P001,2,22.80,5,Jordan Lee,Completed,CRM-CENTRAL-2
O022,WEB-1022,2026-04-01,C011,P003,3,126.42,,Morgan Patel,Completed,CRM-NORTH-1
O023,WEB-1023,2026-04-05,C012,P005,4,150.49,15,Riley Chen,Pending,CRM-SOUTH-3
O024,WEB-1024,2026-04-09,C001,P007,5,91.08,0,Casey Brooks,Cancelled,CRM-NORTH-1
O025,WEB-1025,2026-04-13,C002,P002,1,75.05,5,Alex Kim,Completed,CRM-WEST-1
O026,WEB-1026,2026-04-17,C003,P004,2,263.62,10,,Completed,CRM-EAST-1
O027,WEB-1027,2026-04-21,C004,P006,3,140.39,15,Morgan Patel,Completed,CRM-CENTRAL-1
O028,WEB-1028,2026-04-25,C005,P001,4,22.08,0,Riley Chen,Pending,CRM-NORTH-1
O029,WEB-1029,2026-04-29,C006,P003,5,122.55,5,Casey Brooks,Cancelled,CRM-SOUTH-1
O030,WEB-1030,2026-05-03,C007,P005,1,146.02,10,Alex Kim,Completed,CRM-SOUTH-2
O031,WEB-1031,2026-05-07,C008,P007,2,99.99,15,Jordan Lee,Completed,CRM-EAST-2
O032,WEB-1032,2026-05-11,C009,P002,3,72.68,0,Morgan Patel,Completed,CRM-WEST-2
O033,WEB-1033,2026-05-15,C010,P004,4,255.55,,Riley Chen,Pending,CRM-CENTRAL-2
O034,WEB-1034,2026-05-19,C011,P006,5,136.22,10,Casey Brooks,Cancelled,CRM-NORTH-1
O035,WEB-1035,2026-05-23,C012,P001,1,24.24,15,Alex Kim,Completed,CRM-SOUTH-3
O036,WEB-1017,2026-05-27,C001,P003,2,118.68,0,Jordan Lee,Completed,CRM-NORTH-1
O037,WEB-1037,2026-05-31,C002,P005,3,141.55,5,Morgan Patel,Completed,CRM-WEST-1
O038,WEB-1038,2026-06-04,C003,P007,4,97.02,10,Riley Chen,Pending,CRM-EAST-1
O039,WEB-1039,2026-06-08,C004,P002,5,79.79,15,,Cancelled,CRM-CENTRAL-1
O040,WEB-1040,2026-06-12,C005,P004,1,247.48,0,Alex Kim,Completed,CRM-NORTH-2
O041,WEB-1041,2026-06-16,C006,P006,2,132.05,5,Jordan Lee,Completed,CRM-SOUTH-1
O042,WEB-1042,2026-06-20,C007,P001,3,23.52,10,Morgan Patel,Completed,CRM-NORTH-1
O043,WEB-1043,2026-06-24,C008,P003,4,130.29,15,Riley Chen,Pending,CRM-EAST-2
O044,WEB-1044,2026-06-28,C009,P005,5,137.08,,Casey Brooks,Cancelled,CRM-WEST-2
O045,WEB-1045,2026-07-02,C010,P007,1,94.05,5,Alex Kim,Completed,CRM-CENTRAL-2
O046,WEB-1046,2026-07-06,C011,P002,2,77.42,10,Jordan Lee,Completed,CRM-NORTH-1
O047,WEB-1047,2026-07-10,C012,P004,3,271.69,15,Morgan Patel,Completed,CRM-SOUTH-3
O048,WEB-1048,2026-07-14,C001,P006,4,127.88,0,Riley Chen,Pending,CRM-NORTH-1
